status,type_of_facility,county,beds_ready_to_accept_patients,patients_in_beds,beds_in_warm_status,date
Ready,Alternative Care Facility,Orange,44,16,185,7/9/2020
Ready,Alternative Care Facility,Tulare,34,16,123,7/9/2020
WARM Status,Federal Medical Station,San Mateo,0,0,250,7/9/2020
WARM Status,Arena,Sacramento,0,0,276,7/9/2020
WARM Status,Federal Medical Station,Riverside,0,0,250,7/9/2020
WARM Status,Federal Medical Station,San Francisco,0,0,0,7/9/2020
WARM Status,Federal Medical Station,Los Angeles,0,0,175,7/10/2020
WARM Status,Arena,Sacramento,0,0,276,7/10/2020
WARM Status,Federal Medical Station,Riverside,0,0,250,7/10/2020
Ready,Federal Medical Station,Imperial,64,16,45,7/10/2020
Ready,Alternative Care Facility,Tulare,34,16,123,7/10/2020
WARM Status,Federal Medical Station,Contra Costa,0,0,250,7/10/2020
Ready,Hospital,San Mateo,98,22,0,7/10/2020
WARM Status,Federal Medical Station,Fresno,0,0,175,7/10/2020
WARM Status,Federal Medical Station,San Diego,0,0,200,7/10/2020
WARM Status,Federal Medical Station,San Francisco,0,0,0,7/10/2020
Ready,Alternative Care Facility,Orange,45,15,185,7/10/2020
WARM Status,Federal Medical Station,San Mateo,0,0,250,7/10/2020
WARM Status,Federal Medical Station,Contra Costa,0,0,250,7/11/2020
Ready,Hospital,San Mateo,98,22,0,7/11/2020
Ready,Alternative Care Facility,Tulare,34,16,123,7/11/2020
WARM Status,Federal Medical Station,San Diego,0,0,200,7/11/2020
WARM Status,Arena,Sacramento,0,0,276,7/11/2020
WARM Status,Federal Medical Station,San Mateo,0,0,250,7/11/2020
Ready,Alternative Care Facility,Orange,45,15,185,7/11/2020
WARM Status,Federal Medical Station,Riverside,0,0,250,7/11/2020
WARM Status,Federal Medical Station,Fresno,0,0,175,7/11/2020
Ready,Federal Medical Station,Imperial,61,19,45,7/11/2020
WARM Status,Federal Medical Station,San Francisco,0,0,0,7/11/2020
WARM Status,Federal Medical Station,Los Angeles,0,0,175,7/11/2020
WARM Status,Arena,Sacramento,0,0,276,7/12/2020
WARM Status,Federal Medical Station,Riverside,0,0,250,7/12/2020
WARM Status,Federal Medical Station,San Diego,0,0,200,7/12/2020
Ready,Federal Medical Station,Imperial,61,19,45,7/12/2020
WARM Status,Federal Medical Station,San Francisco,0,0,0,7/12/2020
Ready,Alternative Care Facility,Tulare,36,14,123,7/12/2020
Ready,Alternative Care Facility,Orange,45,15,185,7/12/2020
WARM Status,Federal Medical Station,Contra Costa,0,0,250,7/12/2020
Ready,Hospital,San Mateo,96,24,0,7/12/2020
WARM Status,Federal Medical Station,Fresno,0,0,175,7/12/2020
WARM Status,Federal Medical Station,San Mateo,0,0,250,7/12/2020
WARM Status,Federal Medical Station,Los Angeles,0,0,175,7/12/2020
Ready,Alternative Care Facility,Tulare,38,12,123,7/13/2020
WARM Status,Federal Medical Station,San Mateo,0,0,250,7/13/2020
WARM Status,Federal Medical Station,Los Angeles,0,0,175,7/13/2020
WARM Status,Federal Medical Station,Fresno,0,0,175,7/13/2020
WARM Status,Arena,Sacramento,0,0,276,7/13/2020
WARM Status,Federal Medical Station,Riverside,0,0,250,7/13/2020
WARM Status,Federal Medical Station,San Diego,0,0,200,7/13/2020
Ready,Federal Medical Station,Imperial,63,17,45,7/13/2020
WARM Status,Federal Medical Station,San Francisco,0,0,0,7/13/2020
Ready,Alternative Care Facility,Orange,45,15,185,7/13/2020
WARM Status,Federal Medical Station,Contra Costa,0,0,250,7/13/2020
Ready,Hospital,San Mateo,94,26,0,7/13/2020
WARM Status,Arena,Sacramento,0,0,276,7/14/2020
WARM Status,Federal Medical Station,Contra Costa,0,0,250,7/14/2020
Ready,Alternative Care Facility,Tulare,38,12,123,7/14/2020
WARM Status,Federal Medical Station,Los Angeles,0,0,175,7/14/2020
Ready,Hospital,San Mateo,95,25,0,7/14/2020
Ready,Alternative Care Facility,Orange,47,13,185,7/14/2020
WARM Status,Federal Medical Station,Riverside,0,0,250,7/14/2020
Ready,Federal Medical Station,Marin,148,46,0,7/14/2020
Ready,Federal Medical Station,Imperial,66,14,45,7/14/2020
WARM Status,Federal Medical Station,San Diego,0,0,200,7/14/2020
WARM Status,Federal Medical Station,San Mateo,0,0,250,7/14/2020
WARM Status,Federal Medical Station,Fresno,0,0,175,7/14/2020
WARM Status,Federal Medical Station,Los Angeles,0,0,175,7/15/2020
Ready,Alternative Care Facility,Orange,44,16,185,7/15/2020
Ready,Hospital,San Mateo,94,26,0,7/15/2020
Ready,Federal Medical Station,Imperial,69,11,45,7/15/2020
WARM Status,Federal Medical Station,San Mateo,0,0,250,7/15/2020
WARM Status,Arena,Sacramento,0,0,276,7/15/2020
Ready,Alternative Care Facility,Tulare,42,8,123,7/15/2020
ColdStatus,Federal Medical Station,San Francisco,0,0,0,7/15/2020
WARM Status,Federal Medical Station,Contra Costa,0,0,250,7/15/2020
WARM Status,Federal Medical Station,San Diego,0,0,200,7/15/2020
WARM Status,Federal Medical Station,Riverside,0,0,250,7/15/2020
WARM Status,Federal Medical Station,Fresno,0,0,175,7/15/2020
Ready,Federal Medical Station,Marin,177,63,0,7/15/2020
WARM Status,Federal Medical Station,San Mateo,0,0,250,7/16/2020
WARM Status,Federal Medical Station,Fresno,0,0,175,7/16/2020
Ready,Alternative Care Facility,Orange,47,13,185,7/16/2020
Ready,Alternative Care Facility,Tulare,42,8,123,7/16/2020
Ready,Federal Medical Station,Imperial,69,11,45,7/16/2020
WARM Status,Federal Medical Station,Riverside,0,0,250,7/16/2020
Ready,Hospital,San Mateo,96,24,0,7/16/2020
WARM Status,Federal Medical Station,Contra Costa,0,0,250,7/16/2020
ColdStatus,Federal Medical Station,San Francisco,0,0,0,7/16/2020
Ready,Federal Medical Station,Marin,132,108,0,7/16/2020
WARM Status,Federal Medical Station,San Diego,0,0,200,7/16/2020
WARM Status,Arena,Sacramento,0,0,276,7/16/2020
WARM Status,Federal Medical Station,Los Angeles,0,0,175,7/16/2020
Ready,Alternative Care Facility,Tulare,40,10,123,7/17/2020
WARM Status,Federal Medical Station,San Mateo,0,0,250,7/17/2020
Ready,Hospital,San Mateo,99,21,0,7/17/2020
WARM Status,Federal Medical Station,Contra Costa,0,0,250,7/17/2020
Ready,Alternative Care Facility,Orange,46,14,185,7/17/2020
ColdStatus,Federal Medical Station,San Francisco,0,0,0,7/17/2020
Ready,Federal Medical Station,Marin,139,101,0,7/17/2020
Ready,Federal Medical Station,Imperial,71,9,45,7/17/2020
WARM Status,Federal Medical Station,San Diego,0,0,200,7/17/2020
WARM Status,Federal Medical Station,Riverside,0,0,250,7/17/2020
WARM Status,Arena,Sacramento,0,0,276,7/17/2020
WARM Status,Federal Medical Station,Fresno,0,0,175,7/17/2020
WARM Status,Federal Medical Station,Los Angeles,0,0,175,7/17/2020
WARM Status,Federal Medical Station,San Mateo,0,0,250,7/18/2020
ColdStatus,Federal Medical Station,San Francisco,0,0,0,7/18/2020
Ready,Federal Medical Station,Marin,135,105,0,7/18/2020
WARM Status,Federal Medical Station,Fresno,0,0,175,7/18/2020
WARM Status,Arena,Sacramento,0,0,276,7/18/2020
WARM Status,Federal Medical Station,Los Angeles,0,0,175,7/18/2020
Ready,Hospital,San Mateo,98,22,0,7/18/2020
WARM Status,Federal Medical Station,Contra Costa,0,0,250,7/18/2020
Ready,Alternative Care Facility,Orange,41,19,185,7/18/2020
Ready,Alternative Care Facility,Tulare,37,13,123,7/18/2020
Ready,Federal Medical Station,Imperial,73,7,45,7/18/2020
WARM Status,Federal Medical Station,San Diego,0,0,200,7/18/2020
WARM Status,Federal Medical Station,Riverside,0,0,250,7/18/2020
WARM Status,Federal Medical Station,Contra Costa,0,0,250,7/19/2020
WARM Status,Arena,Sacramento,0,0,276,7/19/2020
Ready,Hospital,San Mateo,99,21,0,7/19/2020
WARM Status,Federal Medical Station,Los Angeles,0,0,175,7/19/2020
WARM Status,Federal Medical Station,Riverside,0,0,250,7/19/2020
ColdStatus,Federal Medical Station,San Francisco,0,0,0,7/19/2020
Ready,Federal Medical Station,Marin,133,107,0,7/19/2020
Ready,Alternative Care Facility,Tulare,34,16,123,7/19/2020
Ready,Federal Medical Station,Imperial,72,8,45,7/19/2020
WARM Status,Federal Medical Station,San Diego,0,0,200,7/19/2020
Ready,Alternative Care Facility,Orange,41,19,185,7/19/2020
WARM Status,Federal Medical Station,Fresno,0,0,175,7/19/2020
WARM Status,Federal Medical Station,San Mateo,0,0,250,7/19/2020
WARM Status,Federal Medical Station,San Mateo,0,0,250,7/20/2020
WARM Status,Arena,Sacramento,0,0,276,7/20/2020
WARM Status,Federal Medical Station,Riverside,0,0,250,7/20/2020
WARM Status,Federal Medical Station,San Diego,0,0,200,7/20/2020
Ready,Federal Medical Station,Imperial,75,5,45,7/20/2020
Ready,Alternative Care Facility,Tulare,30,20,123,7/20/2020
Ready,Federal Medical Station,Marin,133,107,0,7/20/2020
Ready,Alternative Care Facility,Orange,39,21,185,7/20/2020
WARM Status,Federal Medical Station,Contra Costa,0,0,250,7/20/2020
Ready,Hospital,San Mateo,98,22,0,7/20/2020
WARM Status,Federal Medical Station,Fresno,0,0,175,7/20/2020
WARM Status,Federal Medical Station,Los Angeles,0,0,175,7/20/2020
ColdStatus,Federal Medical Station,San Francisco,0,0,0,7/20/2020
WARM Status,Federal Medical Station,Los Angeles,0,0,175,7/21/2020
Ready,Alternative Care Facility,Orange,41,19,185,7/21/2020
ColdStatus,Federal Medical Station,San Francisco,0,0,0,7/21/2020
Ready,Federal Medical Station,Marin,132,108,0,7/21/2020
Ready,Federal Medical Station,Imperial,74,6,45,7/21/2020
WARM Status,Federal Medical Station,San Diego,0,0,200,7/21/2020
WARM Status,Federal Medical Station,Riverside,0,0,250,7/21/2020
WARM Status,Arena,Sacramento,0,0,276,7/21/2020
WARM Status,Federal Medical Station,Fresno,0,0,175,7/21/2020
WARM Status,Federal Medical Station,San Mateo,0,0,250,7/21/2020
WARM Status,Federal Medical Station,Contra Costa,0,0,250,7/21/2020
Ready,Hospital,San Mateo,99,21,0,7/21/2020
Ready,Alternative Care Facility,Tulare,35,15,123,7/21/2020
WARM Status,Federal Medical Station,Contra Costa,0,0,250,7/22/2020
Ready,Federal Medical Station,Imperial,72,8,45,7/22/2020
Ready,Federal Medical Station,Marin,145,95,0,7/22/2020
Ready,Alternative Care Facility,Orange,40,20,185,7/22/2020
WARM Status,Federal Medical Station,San Diego,0,0,200,7/22/2020
WARM Status,Arena,Sacramento,0,0,276,7/22/2020
WARM Status,Federal Medical Station,Fresno,0,0,175,7/22/2020
WARM Status,Federal Medical Station,Los Angeles,0,0,175,7/22/2020
WARM Status,Federal Medical Station,San Mateo,0,0,250,7/22/2020
ColdStatus,Federal Medical Station,San Francisco,0,0,0,7/22/2020
Ready,Alternative Care Facility,Tulare,33,17,123,7/22/2020
WARM Status,Federal Medical Station,Riverside,0,0,250,7/22/2020
Ready,Hospital,San Mateo,99,21,0,7/22/2020
Ready,Alternative Care Facility,Orange,37,23,185,7/23/2020
Ready,Alternative Care Facility,Tulare,33,17,123,7/23/2020
WARM Status,Federal Medical Station,San Diego,0,0,200,7/23/2020
WARM Status,Federal Medical Station,Fresno,0,0,175,7/23/2020
WARM Status,Federal Medical Station,Contra Costa,0,0,250,7/23/2020
Ready,Hospital,San Mateo,99,21,0,7/23/2020
ColdStatus,Federal Medical Station,San Francisco,0,0,0,7/23/2020
Ready,Federal Medical Station,Marin,12,98,0,7/23/2020
Ready,Federal Medical Station,Imperial,73,7,45,7/23/2020
WARM Status,Federal Medical Station,Riverside,0,0,250,7/23/2020
WARM Status,Federal Medical Station,Los Angeles,0,0,175,7/23/2020
WARM Status,Federal Medical Station,San Mateo,0,0,250,7/23/2020
WARM Status,Arena,Sacramento,0,0,276,7/23/2020
WARM Status,Federal Medical Station,Fresno,0,0,175,7/24/2020
WARM Status,Federal Medical Station,Riverside,0,0,250,7/24/2020
Ready,Alternative Care Facility,Tulare,32,18,123,7/24/2020
Ready,Hospital,San Mateo,100,20,0,7/24/2020
WARM Status,Federal Medical Station,Contra Costa,0,0,250,7/24/2020
Ready,Alternative Care Facility,Orange,39,21,185,7/24/2020
ColdStatus,Federal Medical Station,San Francisco,0,0,0,7/24/2020
Ready,Federal Medical Station,Marin,129,121,0,7/24/2020
Ready,Federal Medical Station,Imperial,70,10,45,7/24/2020
WARM Status,Federal Medical Station,San Diego,0,0,200,7/24/2020
WARM Status,Arena,Sacramento,0,0,276,7/24/2020
WARM Status,Federal Medical Station,Los Angeles,0,0,175,7/24/2020
WARM Status,Federal Medical Station,San Mateo,0,0,250,7/24/2020
WARM Status,Federal Medical Station,Contra Costa,0,0,250,7/25/2020
Ready,Alternative Care Facility,Tulare,28,22,123,7/25/2020
WARM Status,Arena,Sacramento,0,0,276,7/25/2020
ColdStatus,Federal Medical Station,San Francisco,0,0,0,7/25/2020
WARM Status,Federal Medical Station,San Mateo,0,0,250,7/25/2020
WARM Status,Federal Medical Station,Los Angeles,0,0,175,7/25/2020
WARM Status,Federal Medical Station,Fresno,0,0,175,7/25/2020
WARM Status,Federal Medical Station,San Diego,0,0,200,7/25/2020
Ready,Hospital,San Mateo,98,22,0,7/25/2020
Ready,Alternative Care Facility,Orange,37,23,185,7/25/2020
Ready,Federal Medical Station,Marin,96,154,0,7/25/2020
Ready,Federal Medical Station,Imperial,69,11,45,7/25/2020
WARM Status,Federal Medical Station,Riverside,0,0,250,7/25/2020
WARM Status,Federal Medical Station,Fresno,0,0,175,7/26/2020
ColdStatus,Federal Medical Station,San Francisco,0,0,0,7/26/2020
WARM Status,Federal Medical Station,San Mateo,0,0,250,7/26/2020
WARM Status,Federal Medical Station,Los Angeles,0,0,175,7/26/2020
WARM Status,Arena,Sacramento,0,0,276,7/26/2020
WARM Status,Federal Medical Station,Riverside,0,0,250,7/26/2020
WARM Status,Federal Medical Station,San Diego,0,0,200,7/26/2020
Ready,Federal Medical Station,Imperial,70,10,45,7/26/2020
Ready,Alternative Care Facility,Tulare,32,18,123,7/26/2020
Ready,Federal Medical Station,Marin,79,171,0,7/26/2020
Ready,Alternative Care Facility,Orange,39,21,185,7/26/2020
WARM Status,Federal Medical Station,Contra Costa,0,0,250,7/26/2020
Ready,Hospital,San Mateo,96,24,0,7/26/2020
Ready,Alternative Care Facility,Tulare,34,16,123,7/27/2020
WARM Status,Federal Medical Station,San Mateo,0,0,250,7/27/2020
WARM Status,Federal Medical Station,Los Angeles,0,0,175,7/27/2020
WARM Status,Federal Medical Station,Fresno,0,0,175,7/27/2020
Ready,Alternative Care Facility,Orange,41,19,185,7/27/2020
WARM Status,Federal Medical Station,San Diego,0,0,200,7/27/2020
WARM Status,Arena,Sacramento,0,0,276,7/27/2020
WARM Status,Federal Medical Station,Riverside,0,0,250,7/27/2020
Ready,Hospital,San Mateo,98,22,0,7/27/2020
WARM Status,Federal Medical Station,Contra Costa,0,0,250,7/27/2020
ColdStatus,Federal Medical Station,San Francisco,0,0,0,7/27/2020
Ready,Federal Medical Station,Marin,70,180,0,7/27/2020
Ready,Federal Medical Station,Imperial,66,14,45,7/27/2020
WARM Status,Federal Medical Station,Los Angeles,0,0,175,7/28/2020
Ready,Federal Medical Station,Marin,66,184,0,7/28/2020
WARM Status,Federal Medical Station,Riverside,0,0,250,7/28/2020
WARM Status,Arena,Sacramento,0,0,276,7/28/2020
Ready,Hospital,San Mateo,101,19,0,7/28/2020
WARM Status,Federal Medical Station,Fresno,0,0,175,7/28/2020
WARM Status,Federal Medical Station,Contra Costa,0,0,250,7/28/2020
Ready,Alternative Care Facility,Orange,43,17,185,7/28/2020
ColdStatus,Federal Medical Station,San Francisco,0,0,0,7/28/2020
Ready,Federal Medical Station,Imperial,69,11,45,7/28/2020
WARM Status,Federal Medical Station,San Diego,0,0,200,7/28/2020
WARM Status,Federal Medical Station,San Mateo,0,0,250,7/28/2020
Ready,Alternative Care Facility,Tulare,34,16,123,7/28/2020
WARM Status,Federal Medical Station,Los Angeles,0,0,175,7/29/2020
WARM Status,Federal Medical Station,Contra Costa,0,0,250,7/29/2020
Ready,Alternative Care Facility,Orange,43,17,185,7/29/2020
ColdStatus,Federal Medical Station,San Francisco,0,0,0,7/29/2020
Ready,Federal Medical Station,Marin,65,185,0,7/29/2020
Ready,Federal Medical Station,Imperial,71,9,45,7/29/2020
WARM Status,Federal Medical Station,San Diego,0,0,200,7/29/2020
WARM Status,Federal Medical Station,Fresno,0,0,175,7/29/2020
WARM Status,Federal Medical Station,San Mateo,0,0,250,7/29/2020
Ready,Hospital,San Mateo,101,19,0,7/29/2020
Ready,Alternative Care Facility,Tulare,34,16,123,7/29/2020
WARM Status,Federal Medical Station,Riverside,0,0,250,7/29/2020
WARM Status,Arena,Sacramento,0,0,276,7/29/2020
Ready,Federal Medical Station,Marin,105,145,0,7/30/2020
Ready,Alternative Care Facility,Orange,37,23,185,7/30/2020
ColdStatus,Federal Medical Station,San Francisco,0,0,0,7/30/2020
WARM Status,Federal Medical Station,San Mateo,0,0,250,7/30/2020
WARM Status,Federal Medical Station,Contra Costa,0,0,250,7/30/2020
Ready,Hospital,San Mateo,106,14,0,7/30/2020
WARM Status,Federal Medical Station,Fresno,0,0,175,7/30/2020
Ready,Federal Medical Station,Imperial,72,8,45,7/30/2020
Ready,Alternative Care Facility,Tulare,35,15,123,7/30/2020
WARM Status,Federal Medical Station,Los Angeles,0,0,175,7/30/2020
WARM Status,Arena,Sacramento,0,0,276,7/30/2020
WARM Status,Federal Medical Station,Riverside,0,0,250,7/30/2020
WARM Status,Federal Medical Station,San Diego,0,0,200,7/30/2020
WARM Status,Federal Medical Station,San Mateo,0,0,250,7/31/2020
Ready,Hospital,San Mateo,106,14,0,7/31/2020
WARM Status,Federal Medical Station,Contra Costa,0,0,250,7/31/2020
Ready,Alternative Care Facility,Orange,42,18,185,7/31/2020
ColdStatus,Federal Medical Station,San Francisco,0,0,0,7/31/2020
Ready,Federal Medical Station,Marin,173,77,0,7/31/2020
Ready,Alternative Care Facility,Tulare,36,14,123,7/31/2020
Ready,Federal Medical Station,Imperial,71,9,45,7/31/2020
WARM Status,Federal Medical Station,San Diego,0,0,200,7/31/2020
WARM Status,Federal Medical Station,Riverside,0,0,250,7/31/2020
WARM Status,Arena,Sacramento,0,0,276,7/31/2020
WARM Status,Federal Medical Station,Fresno,0,0,175,7/31/2020
WARM Status,Federal Medical Station,Los Angeles,0,0,175,7/31/2020
WARM Status,Federal Medical Station,Fresno,0,0,175,8/1/2020
Ready,Hospital,San Mateo,106,14,0,8/1/2020
WARM Status,Federal Medical Station,Contra Costa,0,0,250,8/1/2020
Ready,Alternative Care Facility,Orange,42,18,185,8/1/2020
ColdStatus,Federal Medical Station,San Francisco,0,0,0,8/1/2020
Ready,Federal Medical Station,Marin,173,77,0,8/1/2020
Ready,Federal Medical Station,Imperial,71,9,45,8/1/2020
WARM Status,Federal Medical Station,San Diego,0,0,200,8/1/2020
WARM Status,Federal Medical Station,Riverside,0,0,250,8/1/2020
WARM Status,Arena,Sacramento,0,0,276,8/1/2020
WARM Status,Federal Medical Station,San Mateo,0,0,250,8/1/2020
WARM Status,Federal Medical Station,Los Angeles,0,0,175,8/1/2020
Ready,Alternative Care Facility,Tulare,36,14,123,8/1/2020
Ready,Federal Medical Station,Marin,189,61,0,8/2/2020
Ready,Hospital,San Mateo,107,13,0,8/2/2020
WARM Status,Federal Medical Station,Contra Costa,0,0,250,8/2/2020
Ready,Alternative Care Facility,Orange,37,23,185,8/2/2020
ColdStatus,Federal Medical Station,San Francisco,0,0,0,8/2/2020
Ready,Alternative Care Facility,Tulare,36,14,123,8/2/2020
Ready,Federal Medical Station,Imperial,72,8,45,8/2/2020
WARM Status,Federal Medical Station,San Diego,0,0,200,8/2/2020
WARM Status,Federal Medical Station,Riverside,0,0,250,8/2/2020
WARM Status,Arena,Sacramento,0,0,276,8/2/2020
WARM Status,Federal Medical Station,Fresno,0,0,175,8/2/2020
WARM Status,Federal Medical Station,Los Angeles,0,0,175,8/2/2020
WARM Status,Federal Medical Station,San Mateo,0,0,250,8/2/2020
Ready,Hospital,San Mateo,105,15,0,8/3/2020
WARM Status,Federal Medical Station,Contra Costa,0,0,250,8/3/2020
Ready,Alternative Care Facility,Orange,37,23,185,8/3/2020
ColdStatus,Federal Medical Station,San Francisco,0,0,0,8/3/2020
Ready,Federal Medical Station,Marin,227,23,0,8/3/2020
Ready,Alternative Care Facility,Tulare,35,15,123,8/3/2020
WARM Status,Federal Medical Station,San Diego,0,0,200,8/3/2020
Ready,Federal Medical Station,Imperial,71,9,45,8/3/2020
WARM Status,Federal Medical Station,Los Angeles,0,0,175,8/3/2020
WARM Status,Federal Medical Station,San Mateo,0,0,250,8/3/2020
WARM Status,Federal Medical Station,Fresno,0,0,175,8/3/2020
WARM Status,Federal Medical Station,Riverside,0,0,250,8/3/2020
WARM Status,Arena,Sacramento,0,0,276,8/3/2020
WARM Status,Federal Medical Station,San Mateo,0,0,250,8/4/2020
WARM Status,Federal Medical Station,San Diego,0,0,200,8/4/2020
Ready,Hospital,San Mateo,108,12,0,8/4/2020
WARM Status,Federal Medical Station,Contra Costa,0,0,250,8/4/2020
Ready,Alternative Care Facility,Orange,39,21,185,8/4/2020
ColdStatus,Federal Medical Station,San Francisco,0,0,0,8/4/2020
Ready,Federal Medical Station,Marin,231,19,0,8/4/2020
Ready,Alternative Care Facility,Tulare,35,15,123,8/4/2020
Ready,Federal Medical Station,Imperial,71,9,45,8/4/2020
WARM Status,Federal Medical Station,Riverside,0,0,250,8/4/2020
WARM Status,Arena,Sacramento,0,0,276,8/4/2020
WARM Status,Federal Medical Station,Fresno,0,0,175,8/4/2020
WARM Status,Federal Medical Station,Los Angeles,0,0,175,8/4/2020
WARM Status,Federal Medical Station,Fresno,0,0,175,8/5/2020
Ready,Hospital,San Mateo,108,12,0,8/5/2020
WARM Status,Federal Medical Station,Contra Costa,0,0,250,8/5/2020
Ready,Alternative Care Facility,Orange,39,21,185,8/5/2020
ColdStatus,Federal Medical Station,San Francisco,0,0,0,8/5/2020
Ready,Alternative Care Facility,Tulare,36,14,123,8/5/2020
Ready,Federal Medical Station,Imperial,74,6,45,8/5/2020
WARM Status,Federal Medical Station,San Diego,0,0,200,8/5/2020
WARM Status,Federal Medical Station,San Mateo,0,0,250,8/5/2020
WARM Status,Federal Medical Station,Los Angeles,0,0,175,8/5/2020
WARM Status,Arena,Sacramento,0,0,276,8/5/2020
WARM Status,Federal Medical Station,Riverside,0,0,250,8/5/2020
Ready,Federal Medical Station,Marin,230,20,0,8/5/2020
Ready,Federal Medical Station,Marin,230,20,0,8/6/2020
Ready,Hospital,San Mateo,106,14,0,8/6/2020
WARM Status,Federal Medical Station,Contra Costa,0,0,250,8/6/2020
Ready,Alternative Care Facility,Orange,39,21,185,8/6/2020
ColdStatus,Federal Medical Station,San Francisco,0,0,0,8/6/2020
Ready,Alternative Care Facility,Tulare,37,13,123,8/6/2020
Ready,Federal Medical Station,Imperial,75,5,45,8/6/2020
WARM Status,Federal Medical Station,San Diego,0,0,200,8/6/2020
WARM Status,Federal Medical Station,Riverside,0,0,250,8/6/2020
WARM Status,Arena,Sacramento,0,0,276,8/6/2020
WARM Status,Federal Medical Station,Fresno,0,0,175,8/6/2020
WARM Status,Federal Medical Station,Los Angeles,0,0,175,8/6/2020
WARM Status,Federal Medical Station,San Mateo,0,0,250,8/6/2020
WARM Status,Federal Medical Station,Contra Costa,0,0,250,8/7/2020
WARM Status,Federal Medical Station,Los Angeles,0,0,175,8/7/2020
Ready,Hospital,San Mateo,108,12,0,8/7/2020
Ready,Alternative Care Facility,Orange,42,18,185,8/7/2020
Ready,Federal Medical Station,Marin,179,71,0,8/7/2020
WARM Status,Federal Medical Station,Fresno,0,0,175,8/7/2020
ColdStatus,Federal Medical Station,San Francisco,0,0,0,8/7/2020
WARM Status,Federal Medical Station,San Mateo,0,0,250,8/7/2020
WARM Status,Arena,Sacramento,0,0,276,8/7/2020
WARM Status,Federal Medical Station,Riverside,0,0,250,8/7/2020
WARM Status,Federal Medical Station,San Diego,0,0,200,8/7/2020
Ready,Federal Medical Station,Imperial,75,5,45,8/7/2020
Ready,Alternative Care Facility,Tulare,37,13,123,8/7/2020
Ready,Federal Medical Station,Imperial,76,4,45,8/8/2020
WARM Status,Federal Medical Station,San Mateo,0,0,250,8/8/2020
WARM Status,Federal Medical Station,San Diego,0,0,200,8/8/2020
WARM Status,Federal Medical Station,Los Angeles,0,0,175,8/8/2020
WARM Status,Federal Medical Station,Fresno,0,0,175,8/8/2020
WARM Status,Arena,Sacramento,0,0,276,8/8/2020
WARM Status,Federal Medical Station,Riverside,0,0,250,8/8/2020
Ready,Federal Medical Station,Marin,179,71,0,8/8/2020
Ready,Alternative Care Facility,Tulare,37,13,123,8/8/2020
ColdStatus,Federal Medical Station,San Francisco,0,0,0,8/8/2020
Ready,Alternative Care Facility,Orange,43,17,185,8/8/2020
WARM Status,Federal Medical Station,Contra Costa,0,0,250,8/8/2020
Ready,Hospital,San Mateo,109,11,0,8/8/2020
WARM Status,Federal Medical Station,Fresno,0,0,175,8/9/2020
WARM Status,Federal Medical Station,San Mateo,0,0,250,8/9/2020
WARM Status,Federal Medical Station,Los Angeles,0,0,175,8/9/2020
Ready,Federal Medical Station,Marin,179,71,0,8/9/2020
WARM Status,Federal Medical Station,San Diego,0,0,200,8/9/2020
WARM Status,Federal Medical Station,Riverside,0,0,250,8/9/2020
WARM Status,Federal Medical Station,Contra Costa,0,0,250,8/9/2020
Ready,Alternative Care Facility,Orange,45,15,185,8/9/2020
ColdStatus,Federal Medical Station,San Francisco,0,0,0,8/9/2020
Ready,Alternative Care Facility,Tulare,37,13,123,8/9/2020
Ready,Federal Medical Station,Imperial,75,5,45,8/9/2020
WARM Status,Arena,Sacramento,0,0,276,8/9/2020
Ready,Hospital,San Mateo,111,9,0,8/9/2020
WARM Status,Federal Medical Station,San Mateo,0,0,250,8/10/2020
WARM Status,Federal Medical Station,Fresno,0,0,175,8/10/2020
ColdStatus,Federal Medical Station,San Francisco,0,0,0,8/10/2020
Ready,Hospital,San Mateo,111,9,0,8/10/2020
WARM Status,Federal Medical Station,Contra Costa,0,0,250,8/10/2020
Ready,Alternative Care Facility,Tulare,36,14,123,8/10/2020
Ready,Alternative Care Facility,Orange,46,14,185,8/10/2020
Ready,Federal Medical Station,Imperial,74,6,45,8/10/2020
WARM Status,Federal Medical Station,San Diego,0,0,200,8/10/2020
WARM Status,Federal Medical Station,Riverside,0,0,250,8/10/2020
WARM Status,Arena,Sacramento,0,0,276,8/10/2020
WARM Status,Federal Medical Station,Los Angeles,0,0,175,8/10/2020
Ready,Federal Medical Station,Imperial,73,7,45,8/11/2020
Ready,Alternative Care Facility,Tulare,37,13,123,8/11/2020
ColdStatus,Federal Medical Station,San Francisco,0,0,0,8/11/2020
Ready,Alternative Care Facility,Orange,48,12,185,8/11/2020
WARM Status,Federal Medical Station,Contra Costa,0,0,250,8/11/2020
Ready,Hospital,San Mateo,111,9,0,8/11/2020
WARM Status,Federal Medical Station,Riverside,0,0,250,8/11/2020
WARM Status,Arena,Sacramento,0,0,276,8/11/2020
WARM Status,Federal Medical Station,Fresno,0,0,175,8/11/2020
WARM Status,Federal Medical Station,Los Angeles,0,0,175,8/11/2020
WARM Status,Federal Medical Station,San Mateo,0,0,250,8/11/2020
WARM Status,Federal Medical Station,San Diego,0,0,200,8/11/2020
Ready,Alternative Care Facility,Tulare,37,13,123,8/12/2020
Ready,Hospital,San Mateo,111,9,0,8/12/2020
WARM Status,Federal Medical Station,Contra Costa,0,0,250,8/12/2020
Ready,Alternative Care Facility,Orange,60,0,185,8/12/2020
